2785	000				ADC2_Start(0) ->1200				
2829	001				difference=1200-2785=-1585
2810	002
2777	003
2746	004
2724	005
2697	006
2659	007
2617	008
2578	009
2539	010
2505	011
2461	012
2426	013
2389	014
2350	015
2314	016
2279	017
2239	018
2196	019
2156	020
2114	021
2041	022
1992	023
1959	024
1919	025
1893	026
1864	027
1951	028
1815	029
1700	030				difference=1200-1700=-500	value_number=030
1650	031
1292	032
1281	033
1207	034
1167	035
1106	036
1046	037
0980	038
0900	039
0873	040
0839	041
0822	042
0760	043
0732	044
0700	045
0666	046
0654	047
0630	048
0607	049
0601	050
0596	051
0590	052
0585	053
0580	054
0577	055
0575	056
0573	057
0565	058
0578	059
0577	060
0781	061
0763	062
0737	063
0716	064
0698	065
0680	066
0658	067
0643	068
0621	069
0617	070
0591	071
0575	072
0554	073
0546	074
0512	075
0505	076
0484	077
0475	078
0472	079
0463	080
0442	081
0431	082
0422	083
0415	084
0395	085
0389	086
0372	087
0374	088
0350	089
0333	090
0329	091
0316	092
0313	093
0308	094
0292	095
0290	096
0282	097
0275	098
0266	099
0258	100
0250	101
0236	102
0220	103
0219	104
0203	105
0201	106
0188	107
0183	108
0173	109
0168	110
0169	111
0164	112
0151	113
0154	114
0148	115
0141	116
0141	117
0136	118
0131	119
0130	120
0126	121
0121	122
0112	123
0106	124
0106	125
0097	126
0077	127



























